article_id,title,link,creator,published_at,created_at
AKR20260522063100065,"인천시장 여야후보, 軍心 다지기…'명예해병' vs '베테랑패스'",https://www.yna.co.kr/view/AKR20260522063100065,신민재,2026-05-22T11:10:06+09:00,2026-05-22T18:51:27.274131+09:00
AKR20260522060900065,유정복 '가상자산 신고 누락' 의혹 놓고 인천시장 선거전 가열,https://www.yna.co.kr/view/AKR20260522060900065,홍현기,2026-05-22T11:08:35+09:00,2026-05-22T18:51:27.274162+09:00
AKR20260522057300001,"장동혁 경기·송언석 울산…국힘, 험지·텃밭 동시 공략",https://www.yna.co.kr/view/AKR20260522057300001,노선웅,2026-05-22T10:58:44+09:00,2026-05-22T18:51:27.274194+09:00
AKR20260522050900053,"대구시장 후보들, 출근길 표심 공략…첫 TV토론 격돌 예고",https://www.yna.co.kr/view/AKR20260522050900053,한무선,2026-05-22T10:57:08+09:00,2026-05-22T18:51:27.274226+09:00
AKR20260522051851001,李대통령 지지율 64%로 전주 대비 3%p↑…전 지역서 과반 기록[한국갤럽](종합),https://www.yna.co.kr/view/AKR20260522051851001,박재하,2026-05-22T10:56:04+09:00,2026-05-22T18:51:27.274258+09:00
AKR20260522061400052,사전투표 일주일 앞…창원시장 여야 후보 표밭 다지기 주력,https://www.yna.co.kr/view/AKR20260522061400052,김선경,2026-05-22T10:52:24+09:00,2026-05-22T18:51:27.274294+09:00
AKR20260522059200055,"임형택 익산시장 후보 ""미륵사지·백제왕궁 야간 관광벨트 조성""",https://www.yna.co.kr/view/AKR20260522059200055,김진방,2026-05-22T10:44:15+09:00,2026-05-22T18:51:27.274340+09:00
AKR20260522054600001,"정청래 ""5·18조롱 처벌법 선거직후 처리…정용진 석고대죄하길""",https://www.yna.co.kr/view/AKR20260522054600001,김남권,2026-05-22T10:39:32+09:00,2026-05-22T18:51:27.274374+09:00
AKR20260522039451001,"장동혁 ""민주당 후보는 갑질 자격증 있어야 되나…심판해야""(종합)",https://www.yna.co.kr/view/AKR20260522039451001,이정현,2026-05-22T10:32:20+09:00,2026-05-22T18:51:27.274410+09:00
AKR20260522054800054,"임문영 광산을 후보, 전 현대차 사장 만나 '광주 모빌리티' 논의",https://www.yna.co.kr/view/AKR20260522054800054,박철홍,2026-05-22T10:30:27+09:00,2026-05-22T18:51:27.274450+09:00
AKR20260522051800001,李대통령 지지율 64%로 전주 대비 3%p↑…민주 45%·국힘 22%[한국갤럽],https://www.yna.co.kr/view/AKR20260522051800001,박재하,2026-05-22T10:28:05+09:00,2026-05-22T18:51:27.274481+09:00
AKR20260522047000053,"사무용 칼로 선거 현수막 철거 혐의…선관위, 상인 고발",https://www.yna.co.kr/view/AKR20260522047000053,손대성,2026-05-22T10:13:34+09:00,2026-05-22T18:51:27.274513+09:00
AKR20260522046700017,"KT, 선거·연휴 대비 전국 통신 인프라 점검",https://www.yna.co.kr/view/AKR20260522046700017,박형빈,2026-05-22T10:07:02+09:00,2026-05-22T18:51:27.274544+09:00
AKR20260522040300001,"국힘, '대전MBC 토론 김태흠 모두발언 누락'에 ""불법 선거개입""",https://www.yna.co.kr/view/AKR20260522040300001,이정현,2026-05-22T10:01:54+09:00,2026-05-22T18:51:27.274580+09:00
AKR20260522043500051,"박형준, 전재수·하정우 동시 저격…""민주당 프레임 정치 콤비""",https://www.yna.co.kr/view/AKR20260522043500051,이영재,2026-05-22T09:59:32+09:00,2026-05-22T18:51:27.274612+09:00
